Age,Education,EducationNum,MaritalStatus,Relationship,Gender,CapitalGain,HoursPerWeek
39, Bachelors,13, Never-married, Not-in-family, Male,2174,40
50, Bachelors,13, Married-civ-spouse, Husband, Male,0,13
52, HS-grad,9, Married-civ-spouse, Husband, Male,0,45
30, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
25, HS-grad,9, Never-married, Own-child, Male,0,35
43, Masters,14, Divorced, Unmarried, Female,0,45
35, 9th,5, Married-civ-spouse, Husband, Male,0,40
56, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
54, Some-college,10, Married-civ-spouse, Husband, Male,0,60
23, Assoc-acdm,12, Never-married, Not-in-family, Male,0,52
30, Some-college,10, Married-civ-spouse, Own-child, Male,0,40
22, Some-college,10, Married-civ-spouse, Husband, Male,0,15
48, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,40
53, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
57, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
41, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
50, Bachelors,13, Divorced, Not-in-family, Male,0,55
47, HS-grad,9, Divorced, Not-in-family, Male,0,60
32, 7th-8th,4, Married-spouse-absent, Not-in-family, Male,0,40
49, Some-college,10, Married-civ-spouse, Husband, Male,0,50
25, Some-college,10, Never-married, Own-child, Male,0,40
29, Bachelors,13, Married-civ-spouse, Husband, Male,0,70
67, 10th,6, Married-civ-spouse, Husband, Male,0,2
31, 7th-8th,4, Married-civ-spouse, Husband, Male,0,40
49, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
43, Doctorate,16, Never-married, Not-in-family, Female,0,50
34, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
29, Some-college,10, Never-married, Not-in-family, Male,0,50
48, Doctorate,16, Married-civ-spouse, Husband, Male,0,60
32, HS-grad,9, Never-married, Own-child, Male,0,40
47, Masters,14, Never-married, Not-in-family, Female,0,50
32, HS-grad,9, Married-civ-spouse, Husband, Male,7688,40
17, 10th,6, Never-married, Own-child, Female,34095,32
31, HS-grad,9, Never-married, Not-in-family, Female,0,40
56, HS-grad,9, Married-civ-spouse, Husband, Male,0,50
56, Some-college,10, Married-civ-spouse, Husband, Male,0,50
49, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,40
29, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
35, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
38, HS-grad,9, Married-civ-spouse, Husband, Male,4386,35
38, Masters,14, Married-civ-spouse, Husband, Male,0,40
43, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
61, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
43, Some-college,10, Divorced, Not-in-family, Female,0,40
47, Some-college,10, Divorced, Unmarried, Female,0,38
52, HS-grad,9, Divorced, Not-in-family, Male,0,45
71, Some-college,10, Separated, Unmarried, Male,0,2
68, 1st-4th,2, Divorced, Not-in-family, Female,0,20
44, Masters,14, Divorced, Unmarried, Female,0,40
45, Masters,14, Married-civ-spouse, Husband, Male,0,40
39, Assoc-acdm,12, Never-married, Not-in-family, Male,0,42
46, Masters,14, Widowed, Unmarried, Male,0,40
66, Assoc-voc,11, Widowed, Not-in-family, Female,0,20
28, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
28, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
44, Some-college,10, Married-civ-spouse, Husband, Male,0,38
37, Some-college,10, Married-civ-spouse, Husband, Male,0,42
41, Bachelors,13, Divorced, Not-in-family, Female,0,40
53, Bachelors,13, Divorced, Not-in-family, Female,0,50
58, Doctorate,16, Married-civ-spouse, Husband, Male,0,1
41, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
41, Bachelors,13, Married-civ-spouse, Husband, Male,0,24
40, Masters,14, Never-married, Not-in-family, Female,14084,55
24, HS-grad,9, Never-married, Not-in-family, Male,0,40
19, HS-grad,9, Never-married, Own-child, Male,0,40
42, Some-college,10, Never-married, Not-in-family, Female,0,40
37, HS-grad,9, Divorced, Unmarried, Female,0,35
58, HS-grad,9, Married-civ-spouse, Wife, Female,15024,35
44, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
54, 7th-8th,4, Married-civ-spouse, Husband, Male,0,40
64, 1st-4th,2, Divorced, Not-in-family, Male,0,40
53, Preschool,1, Never-married, Not-in-family, Female,0,35
60, 10th,6, Divorced, Not-in-family, Female,0,10
66, HS-grad,9, Married-civ-spouse, Husband, Male,1409,50
59, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
40, Some-college,10, Never-married, Not-in-family, Female,0,38
38, Masters,14, Married-civ-spouse, Husband, Male,0,70
41, HS-grad,9, Married-civ-spouse, Wife, Female,0,20
24, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,50
20, Some-college,10, Never-married, Own-child, Male,0,20
59, 10th,6, Widowed, Unmarried, Female,0,30
19, Some-college,10, Never-married, Own-child, Male,0,40
42, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
37, Some-college,10, Married-civ-spouse, Husband, Male,0,75
19, Some-college,10, Never-married, Own-child, Male,0,24
50, Masters,14, Married-civ-spouse, Husband, Male,2407,98
27, Masters,14, Never-married, Own-child, Male,0,35
42, Some-college,10, Married-civ-spouse, Husband, Male,5178,40
57, Masters,14, Married-civ-spouse, Husband, Male,15024,40
29, Bachelors,13, Never-married, Not-in-family, Male,0,56
37, Bachelors,13, Divorced, Not-in-family, Female,0,60
39, Masters,14, Married-civ-spouse, Wife, Female,3464,40
41, Some-college,10, Married-civ-spouse, Husband, Male,0,54
19, Some-college,10, Never-married, Own-child, Female,0,25
36, Bachelors,13, Divorced, Not-in-family, Female,0,40
77, Some-college,10, Married-civ-spouse, Husband, Male,0,40
39, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
76, Masters,14, Married-civ-spouse, Husband, Male,0,10
63, HS-grad,9, Married-civ-spouse, Husband, Male,0,45
23, Assoc-voc,11, Never-married, Own-child, Female,0,15
58, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
55, 10th,6, Married-civ-spouse, Husband, Male,0,40
36, HS-grad,9, Married-civ-spouse, Husband, Male,7298,40
22, Some-college,10, Never-married, Own-child, Female,0,40
43, Bachelors,13, Never-married, Not-in-family, Male,0,42
67, 11th,7, Married-civ-spouse, Husband, Male,0,8
30, Assoc-voc,11, Divorced, Unmarried, Female,0,40
46, 11th,7, Married-civ-spouse, Husband, Male,0,30
59, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
38, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
26, 9th,5, Married-civ-spouse, Husband, Male,0,40
56, Some-college,10, Married-civ-spouse, Husband, Male,0,45
26, Some-college,10, Never-married, Unmarried, Female,0,15
40, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,38
20, Some-college,10, Never-married, Own-child, Female,0,10
46, Masters,14, Divorced, Not-in-family, Male,0,30
36, Some-college,10, Married-civ-spouse, Wife, Female,0,40
46, Assoc-acdm,12, Separated, Not-in-family, Male,0,40
34, Bachelors,13, Married-civ-spouse, Husband, Male,7688,45
20, HS-grad,9, Never-married, Other-relative, Female,0,35
52, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
50, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
46, HS-grad,9, Married-civ-spouse, Husband, Male,0,25
28, Some-college,10, Married-civ-spouse, Wife, Female,0,40
41, Some-college,10, Divorced, Not-in-family, Female,0,24
31, Some-college,10, Married-civ-spouse, Husband, Male,0,40
34, 11th,7, Separated, Not-in-family, Male,0,40
34, HS-grad,9, Divorced, Unmarried, Female,0,40
32, Bachelors,13, Married-civ-spouse, Wife, Female,0,40
36, Masters,14, Never-married, Not-in-family, Male,0,40
63, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
47, Masters,14, Married-civ-spouse, Husband, Male,0,40
80, HS-grad,9, Widowed, Not-in-family, Male,0,24
17, 11th,7, Never-married, Own-child, Male,0,40
40, Bachelors,13, Married-spouse-absent, Not-in-family, Female,2174,40
34, HS-grad,9, Never-married, Not-in-family, Male,594,60
34, Some-college,10, Never-married, Not-in-family, Female,0,40
42, Some-college,10, Married-civ-spouse, Wife, Female,0,40
24, HS-grad,9, Never-married, Own-child, Male,0,40
17, 11th,7, Never-married, Own-child, Female,0,5
45, Some-college,10, Married-civ-spouse, Husband, Male,0,55
44, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
32, Some-college,10, Married-civ-spouse, Husband, Male,0,40
54, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
22, Some-college,10, Never-married, Own-child, Male,0,40
43, Some-college,10, Married-civ-spouse, Husband, Male,0,20
28, Bachelors,13, Never-married, Not-in-family, Male,0,20
52, 12th,8, Never-married, Other-relative, Male,594,40
63, 1st-4th,2, Married-civ-spouse, Husband, Male,0,35
59, HS-grad,9, Married-civ-spouse, Husband, Male,0,45
45, Bachelors,13, Divorced, Unmarried, Female,0,40
46, HS-grad,9, Divorced, Not-in-family, Male,0,40
72, HS-grad,9, Married-civ-spouse, Husband, Male,0,20
23, HS-grad,9, Never-married, Not-in-family, Male,0,40
62, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
